PeakID (cmd=C57_H.p_peaks.bed mm9)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_5729	chr17	32673203	32674162	+	233.37	NA	intron (NM_024442, intron 1 of 12)	intron (NM_024442, intron 1 of 12)	108	NM_024442	70101	Mm.30504	NM_024442	ENSMUSG00000048440	Cyp4f16	2310021J05Rik|AI746515	cytochrome P450, family 4, subfamily f, polypeptide 16	protein-coding
MACS_peak_11358	chr6	122775923	122777284	+	233.33	NA	intron (NM_021899, intron 1 of 10)	intron (NM_021899, intron 1 of 10)	6401	NM_021899	60611	Mm.87142	NM_021899	ENSMUSG00000003154	Foxj2	Fhx	forkhead box J2	protein-coding
MACS_peak_14415	chrX	130810596	130812034	+	233.27	NA	intron (NM_001167994, intron 1 of 13)	C-rich|Low_complexity|Low_complexity	208	NM_172540	215201	Mm.289368	NM_001167994	ENSMUSG00000067369	Trmt2b	4732479N06Rik	TRM2 tRNA methyltransferase 2 homolog B (S. cerevisiae)	protein-coding
MACS_peak_3707	chr13	76192587	76194340	+	233.22	NA	exon (NM_175495, exon 1 of 1)	exon (NM_175495, exon 1 of 1)	981	NM_175495	238725	Mm.167172	NM_175495	ENSMUSG00000045509	Gpr150	C030001A19Rik|PGR11	G protein-coupled receptor 150	protein-coding
MACS_peak_491	chr1	136195122	136196448	+	232.35	NA	intron (NM_001144855, intron 27 of 28)	CpG-536	9204	NM_031189	17928	Mm.16528	NM_031189	ENSMUSG00000026459	Myog	MYF4|bHLHc3|myo	myogenin	protein-coding
MACS_peak_3986	chr14	28050860	28052634	+	232.08	NA	intron (NM_027871, intron 1 of 10)	intron (NM_027871, intron 1 of 10)	522	NM_027871	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
MACS_peak_9538	chr4	129575850	129576797	+	231.89	NA	Intergenic	Intergenic	-7147	NR_045190	319894	Mm.59196	NR_045190		E330017L17Rik	-	RIKEN cDNA E330017L17 gene	miscRNA
MACS_peak_5831	chr17	36247611	36248813	+	231.84	NA	exon (NM_001271005, exon 2 of 7)	exon (NM_001271005, exon 2 of 7)	409	NM_001271005	667803	Mm.490445	NM_001271005		C920025E04Rik	-	RIKEN cDNA C920025E04 gene	protein-coding
MACS_peak_13926	chr9	108192030	108193505	+	231.75	NA	promoter-TSS (NM_025449)	promoter-TSS (NM_025449)	-21	NM_025449	66257	Mm.10407	NM_025449	ENSMUSG00000032606	Nicn1	1500032A17Rik	nicolin 1	protein-coding
MACS_peak_3114	chr12	93016717	93017907	+	231.70	NA	intron (NM_175367, intron 1 of 6)	CpG	7564	NM_175367	108800	Mm.23125	NM_175367	ENSMUSG00000020961	Ston2	4933401N24Rik|AI425999|AW544599	stonin 2	protein-coding
MACS_peak_966	chr10	33624395	33625500	+	231.64	NA	promoter-TSS (NM_001162957)	promoter-TSS (NM_001162957)	30	NM_001162957	212892	Mm.131949	NM_001162957	ENSMUSG00000039552	Rsph4a	A230081C05|Rshl3	radial spoke head 4 homolog A (Chlamydomonas)	protein-coding
MACS_peak_4207	chr14	62305429	62306533	+	231.63	NA	Intergenic	Intergenic	-4771	NR_028264	668253	Mm.483605	NR_028264		Dleu2	1810047A16Rik|4932411A06Rik|7730401J12Rik|AI197277|AI788824|Alt1|Gm9069|Leu2	deleted in lymphocytic leukemia, 2	miscRNA
MACS_peak_13201	chr8	124108742	124110145	+	231.47	NA	Intergenic	CpG	-4925	NM_026160	67443	Mm.28357	NM_026160	ENSMUSG00000031812	Map1lc3b	1010001C15Rik|Atg8|LC3b|Map1lc3	microtubule-associated protein 1 light chain 3 beta	protein-coding
MACS_peak_12856	chr8	74194684	74195950	+	231.35	NA	intron (NM_001029873, intron 1 of 41)	CpG	339	NM_001029873	382018	Mm.334606	NM_001029873	ENSMUSG00000034799	Unc13a	2410078G03Rik|Munc13-1	unc-13 homolog A (C. elegans)	protein-coding
MACS_peak_8414	chr3	82351664	82352818	+	231.32	NA	promoter-TSS (NM_008731)	promoter-TSS (NM_008731)	-234	NM_001205099	18167	Mm.1433	NM_001205099	ENSMUSG00000028004	Npy2r	NPY2-R	neuropeptide Y receptor Y2	protein-coding
MACS_peak_14496	chrX	149574144	149575251	+	230.58	NA	5' UTR (NM_001004154, exon 1 of 11)	5' UTR (NM_001004154, exon 1 of 11)	196	NM_001004154	245670	Mm.190922	NM_001004154	ENSMUSG00000041658	Rragb	-	Ras-related GTP binding B	protein-coding
MACS_peak_599	chr1	159552080	159553093	+	229.49	NA	Intergenic	Intergenic	96285	NM_001159986	89867	Mm.87114	NM_001159986	ENSMUSG00000026589	Sec16b	Lztr2|Rgpr|Rgpr-p117	SEC16 homolog B (S. cerevisiae)	protein-coding
MACS_peak_7746	chr2	127008016	127009403	+	229.49	NA	Intergenic	Intergenic	25307	NM_198630	329509	Mm.120738	NM_198630	ENSMUSG00000044145	1810024B03Rik	-	RIKEN cDNA 1810024B03 gene	protein-coding
MACS_peak_10933	chr6	39821383	39823574	+	229.46	NA	Intergenic	CpG	-61543	NM_001010930	14548	Mm.377071	NM_001010930	ENSMUSG00000029918	Mrps33	AI841153|CGI-139|Gdap3|MRP-S33|PTD003	mitochondrial ribosomal protein S33	protein-coding
MACS_peak_6600	chr19	5487357	5489805	+	229.46	NA	promoter-TSS (NM_027877)	promoter-TSS (NM_027877)	-245	NM_027877	71711	Mm.27697	NM_027877	ENSMUSG00000024906	Mus81	1200008A18Rik|AI182501|AW045863	MUS81 endonuclease homolog (yeast)	protein-coding
MACS_peak_7374	chr2	60390533	60391755	+	229.35	NA	exon (NM_008867, exon 1 of 30)	exon (NM_008867, exon 1 of 30)	221	NM_008867	18779	Mm.5092	NM_008867	ENSMUSG00000054580	Pla2r1	Pla2-r|Pla2g1br|Pla2r	phospholipase A2 receptor 1	protein-coding
MACS_peak_14212	chrX	48193924	48195350	+	229.11	NA	promoter-TSS (NM_133729)	promoter-TSS (NM_133729)	24	NM_133729	70415	Mm.391246	NM_133729	ENSMUSG00000031112	2610018G03Rik	Mst4	RIKEN cDNA 2610018G03 gene	protein-coding
MACS_peak_3211	chr12	112680413	112681599	+	228.88	NA	intron (NM_009396, intron 1 of 11)	CpG	134	NM_009396	21928	Mm.255332	NM_009396	ENSMUSG00000021281	Tnfaip2	B94|Exoc3l3|M-sec|Tnfip2|tnfb94	tumor necrosis factor, alpha-induced protein 2	protein-coding
MACS_peak_1577	chr10	128328872	128329851	+	228.77	NA	promoter-TSS (NM_010272)	promoter-TSS (NM_010272)	-587	NM_010272	14561	Mm.299218	NM_010272	ENSMUSG00000025352	Gdf11	BMP-11|Bmp11	growth differentiation factor 11	protein-coding
MACS_peak_9536	chr4	129487599	129489143	+	228.66	NA	Intergenic	Intergenic	-9352	NM_008974	19244	Mm.193688	NM_001164745	ENSMUSG00000028788	Ptp4a2	Prl-2	protein tyrosine phosphatase 4a2	protein-coding
MACS_peak_6097	chr17	87872762	87874241	+	228.38	NA	Intergenic	Intergenic	-27226	NM_007589	12314	Mm.329243	NM_007589	ENSMUSG00000036438	Calm2	1500001E21Rik|AL024017	calmodulin 2	protein-coding
MACS_peak_3066	chr12	85722234	85723807	+	228.29	NA	intron (NM_001026214, intron 13 of 15)	intron (NM_001026214, intron 13 of 15)	20102	NM_172582	217707	Mm.280062	NM_172582	ENSMUSG00000021235	Coq6	5930427M12Rik|AW742344	coenzyme Q6 homolog (yeast)	protein-coding
MACS_peak_3126	chr12	100158441	100159520	+	228.28	NA	exon (NM_198311, exon 1 of 15)	exon (NM_198311, exon 1 of 15)	158	NM_198311	76260	Mm.282660	NM_029553	ENSMUSG00000021013	Ttc8	0610012F22Rik|AV001447|BBS8	tetratricopeptide repeat domain 8	protein-coding
MACS_peak_1528	chr10	126776395	126778034	+	228.02	NA	intron (NM_010296, intron 2 of 12)	intron (NM_010296, intron 2 of 12)	1421	NM_010296	14632	Mm.391450	NM_010296	ENSMUSG00000025407	Gli1	AV235269|Zfp-5|Zfp5	GLI-Kruppel family member GLI1	protein-coding
MACS_peak_6302	chr18	37926730	37928134	+	227.98	NA	exon (NM_033595, exon 1 of 4)	exon (NM_033595, exon 1 of 4)	2198	NM_033595	93724	Mm.247203	NM_033595	ENSMUSG00000023036	Pcdhga12	Pcdh13|pc2c	protocadherin gamma subfamily A, 12	protein-coding
MACS_peak_13433	chr9	39410286	39412141	+	227.60	NA	promoter-TSS (NM_001199556)	promoter-TSS (NM_001199556)	24	NM_001199556	244810	Mm.208855	NM_001199556	ENSMUSG00000038112	AW551984	3222402N16	expressed sequence AW551984	protein-coding
MACS_peak_2536	chr11	105893102	105893525	+	227.40	NA	intron (NM_001037712, intron 12 of 12)	IAPEz-int|LTR|ERVK	-4873	NM_027946	71833	Mm.307455	NM_027946	ENSMUSG00000049354	Dcaf7	1700012F10Rik|2610037L01Rik|C86529|HAN11|Wdr68	DDB1 and CUL4 associated factor 7	protein-coding
MACS_peak_4959	chr15	102576693	102577984	+	227.39	NA	Intergenic	CpG	-24729	NM_026192	67488	Mm.71682	NM_026192	ENSMUSG00000023055	Calcoco1	1810009B06Rik|Cocoa|Gcap11|mKIAA1536	calcium binding and coiled coil domain 1	protein-coding
MACS_peak_13447	chr9	41543527	41544959	+	227.32	NA	Intergenic	Intergenic	154234	NR_029822	387236		NR_029822		Mir125b-1	Mirn125b|Mirn125b-1	microRNA 125b-1	miscRNA
MACS_peak_2415	chr11	98802125	98803728	+	227.25	NA	intron (NM_001177303, intron 1 of 8)	intron (NM_001177303, intron 1 of 8)	1901	NM_001177303	19401	Mm.439744	NM_001176528	ENSMUSG00000037992	Rara	Nr1b1|RAR|RARalpha1	retinoic acid receptor, alpha	protein-coding
MACS_peak_2832	chr12	32243574	32244866	+	227.07	NA	5' UTR (NM_011867, exon 2 of 21)	5' UTR (NM_011867, exon 2 of 21)	614	NM_011867	23985	Mm.100187	NM_011867	ENSMUSG00000020651	Slc26a4	Pds|pendrin	solute carrier family 26, member 4	protein-coding
MACS_peak_3471	chr13	41315153	41316678	+	226.74	NA	promoter-TSS (NM_019423)	promoter-TSS (NM_019423)	-143	NM_019423	54326	Mm.2567	NM_019423	ENSMUSG00000021364	Elovl2	AI317360|Ssc2	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2	protein-coding
MACS_peak_3892	chr14	8400120	8401490	+	226.60	NA	intron (NM_001270842, intron 1 of 6)	CpG	275	NM_001270842	100041874	Mm.483675	NM_001270842	ENSMUSG00000079364	Gm3558	ENSMUSG00000079364	predicted gene 3558	protein-coding
MACS_peak_7085	chr2	18721359	18722841	+	226.32	NA	Intergenic	CpG	101451	NM_001001334	381350	Mm.330024	NM_001001334	ENSMUSG00000037708	BC061194	-	cDNA sequence BC061194	protein-coding
MACS_peak_2566	chr11	109173239	109174375	+	226.30	NA	Intergenic	Intergenic	-14312	NM_011268	19739	Mm.38548	NM_001165934	ENSMUSG00000020599	Rgs9	RGS9-1|Rgs9-2	regulator of G-protein signaling 9	protein-coding
MACS_peak_5854	chr17	43704875	43705921	+	226.29	NA	promoter-TSS (NM_013737)	promoter-TSS (NM_013737)	-2	NM_013737	27226	Mm.9277	NM_013737	ENSMUSG00000023913	Pla2g7	R75400	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	protein-coding
MACS_peak_11025	chr6	55401602	55402961	+	226.04	NA	5' UTR (NM_007407, exon 1 of 17)	5' UTR (NM_007407, exon 1 of 17)	307	NM_007407	11517	Mm.44245	NM_001025372	ENSMUSG00000029778	Adcyap1r1	2900024I10Rik|AI846590|PAC1|PAC1R|PACAP1-R	adenylate cyclase activating polypeptide 1 receptor 1	protein-coding
MACS_peak_1142	chr10	69387532	69389245	+	225.68	NA	5' UTR (NM_009670, exon 1 of 20)	5' UTR (NM_009670, exon 1 of 20)	108	NM_009670	11735	Mm.235960	NM_009670	ENSMUSG00000069601	Ank3	2900054D09Rik|AI314020|Ank-3|AnkG|Ankyrin-3|Ankyrin-G	ankyrin 3, epithelial	protein-coding
MACS_peak_4048	chr14	45608190	45609593	+	225.67	NA	exon (NM_008964, exon 1 of 2)	exon (NM_008964, exon 1 of 2)	1105	NM_008964	19217	Mm.4630	NM_008964	ENSMUSG00000037759	Ptger2	EP2|Ptgerep2	prostaglandin E receptor 2 (subtype EP2)	protein-coding
MACS_peak_5547	chr17	22811030	22811899	+	225.66	NA	Intergenic	Intergenic	73349	NM_001104575	628185	Mm.390947	NM_001104575	ENSMUSG00000094921	Vmn2r112	EG628185|V2rp1	vomeronasal 2, receptor 112	protein-coding
MACS_peak_4440	chr15	11939789	11941061	+	225.38	NA	Intergenic	Intergenic	-14663	NM_011294	20024	Mm.41746	NM_011294	ENSMUSG00000022205	Sub1	AI842364|P15|P9|Pc4|Rpo2tc1	SUB1 homolog (S. cerevisiae)	protein-coding
MACS_peak_441	chr1	128633981	128635245	+	225.10	NA	intron (NM_176957, intron 1 of 12)	intron (NM_176957, intron 1 of 12)	92596	NM_001081756	210356	Mm.377234	NM_001081756	ENSMUSG00000049690	Nckap5	8430408F21|D130011D22Rik|E030049G20Rik|Erih1|Erih2|Gm1548|Nap5	NCK-associated protein 5	protein-coding
MACS_peak_8072	chr2	168736990	168738640	+	224.99	NA	Intergenic	CpG	43272	NM_009564	22722	Mm.482454	NM_009564	ENSMUSG00000027551	Zfp64	-	zinc finger protein 64	protein-coding
MACS_peak_10284	chr5	103197293	103198541	+	224.98	NA	intron (NM_146161, intron 2 of 8)	intron (NM_146161, intron 2 of 8)	287507	NM_029270	231532	Mm.440191	NM_029270	ENSMUSG00000057315	Arhgap24	0610025G21Rik	Rho GTPase activating protein 24	protein-coding
MACS_peak_4505	chr15	38227905	38228847	+	224.76	NA	intron (NM_013692, intron 1 of 3)	ID_B1|SINE|B4	2086	NM_013692	21847	Mm.4292	NM_013692	ENSMUSG00000037465	Klf10	AI115143|EGR[a]|Egral|Gdnfif|Tieg|Tieg1|mGIF	Kruppel-like factor 10	protein-coding
MACS_peak_12816	chr8	73117436	73119322	+	224.72	NA	promoter-TSS (NM_023627)	promoter-TSS (NM_023627)	-1	NM_023627	71780	Mm.29357	NM_023627	ENSMUSG00000019139	Isyna1	1300017C10Rik|AU018670	myo-inositol 1-phosphate synthase A1	protein-coding
MACS_peak_11205	chr6	91756653	91757716	+	224.58	NA	intron (NM_001159507, intron 1 of 23)	intron (NM_001159507, intron 1 of 23)	203	NM_001159507	243547	Mm.333264	NM_001033353	ENSMUSG00000030098	Grip2	-	glutamate receptor interacting protein 2	protein-coding
MACS_peak_11449	chr6	137117290	137118489	+	224.57	NA	intron (NM_181988, intron 1 of 4)	CpG	350	NM_001164214	232441	Mm.46233	NM_001164212	ENSMUSG00000030222	Rerg	-	RAS-like, estrogen-regulated, growth-inhibitor	protein-coding
MACS_peak_10289	chr5	104084358	104085323	+	224.51	NA	promoter-TSS (NM_001163550)	promoter-TSS (NM_001163550)	-89	NM_001163550	74218	Mm.159141	NM_001163550	ENSMUSG00000029320	1700016H13Rik	-	RIKEN cDNA 1700016H13 gene	protein-coding
MACS_peak_12555	chr8	11727239	11728088	+	224.34	NA	promoter-TSS (NM_001113517)	promoter-TSS (NM_001113517)	-442	NM_001113517	54126	Mm.244068	NM_001113517	ENSMUSG00000031511	Arhgef7	Cool|PIX|Pak3bp|betaPix|betaPix-b|betaPix-c|cool-1|mKIAA0142|p85Cool1|p85SPR	Rho guanine nucleotide exchange factor (GEF7)	protein-coding
MACS_peak_4244	chr14	66742524	66743601	+	223.96	NA	intron (NM_007940, intron 1 of 18)	intron (NM_007940, intron 1 of 18)	297	NM_001271402	13850	Mm.15295	NM_001271402	ENSMUSG00000022040	Ephx2	CEH|Eph2|SEH|sEP	epoxide hydrolase 2, cytoplasmic	protein-coding
MACS_peak_2401	chr11	98411735	98413187	+	223.83	NA	promoter-TSS (NM_027061)	promoter-TSS (NM_027061)	50	NM_001166494	69376	Mm.55996	NM_001166494	ENSMUSG00000017195	Zpbp2	1700017D11Rik|2610022C02Rik|ZPBPL	zona pellucida binding protein 2	protein-coding
MACS_peak_235	chr1	69872981	69874195	+	223.77	NA	promoter-TSS (NM_029160)	promoter-TSS (NM_029160)	26	NM_029160	66722	Mm.440554	NM_001271533	ENSMUSG00000053153	Spag16	4921511D23Rik|4930524F24Rik|4930585K05Rik|AV261009|Pf20|Wdr29	sperm associated antigen 16	protein-coding
MACS_peak_7218	chr2	30700416	30701822	+	223.50	NA	exon (NM_009116, exon 1 of 4)	exon (NM_009116, exon 1 of 4)	232	NM_009116	20204	Mm.1802	NM_009116	ENSMUSG00000039476	Prrx2	Prx2|S8	paired related homeobox 2	protein-coding
MACS_peak_4807	chr15	88667456	88668390	+	223.29	NA	Intergenic	CpG	17847	NM_029720	76737	Mm.292567	NM_029720	ENSMUSG00000023272	Creld2	5730592L21Rik|C85758	cysteine-rich with EGF-like domains 2	protein-coding
MACS_peak_4544	chr15	54751144	54752989	+	223.20	NA	promoter-TSS (NM_001136077)	promoter-TSS (NM_001136077)	-365	NM_015744	18606	Mm.250256	NM_001136077	ENSMUSG00000022425	Enpp2	ATX|Npps2|PD-Ialpha|Pdnp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	protein-coding
MACS_peak_3811	chr13	102571136	102572083	+	222.88	NA	Intergenic	Intergenic	-33437	NM_001077495	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	AA414921|C530050K14|PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
MACS_peak_9244	chr4	89354530	89355861	+	222.85	NA	exon (NM_175647, exon 1 of 2)	exon (NM_175647, exon 1 of 2)	306	NM_175647	242523	Mm.130167	NM_175647	ENSMUSG00000043753	Dmrta1	Dmrt4	doublesex and mab-3 related transcription factor like family A1	protein-coding
MACS_peak_7025	chr2	5058357	5059701	+	222.79	NA	exon (NM_028804, exon 1 of 3)	exon (NM_028804, exon 1 of 3)	207	NM_028804	74186	Mm.274715	NM_028804	ENSMUSG00000026676	Ccdc3	2310045O21Rik	coiled-coil domain containing 3	protein-coding
MACS_peak_4200	chr14	61978559	61979785	+	222.40	NA	exon (NM_026598, exon 1 of 4)	exon (NM_026598, exon 1 of 4)	110	NM_026598	68177	Mm.22758	NM_026598	ENSMUSG00000021928	Ebpl	5730442K12Rik|EBRP	emopamil binding protein-like	protein-coding
MACS_peak_9724	chr4	145289886	145293292	+	222.16	NA	exon (NM_001103158, exon 5 of 5)	exon (NM_001103158, exon 5 of 5)	30989	NM_001103158	100041379	Mm.276881	NM_001103158	ENSMUSG00000058186	Gm13242	OTTMUSG00000011070	predicted gene 13242	protein-coding
MACS_peak_5143	chr16	23519677	23521152	+	221.89	NA	intron (NM_008555, intron 1 of 15)	intron (NM_008555, intron 1 of 15)	249	NM_008555	17174	Mm.1213	NM_008555	ENSMUSG00000022887	Masp1	AW048060|CCPII|Crarf|Masp1/3	mannan-binding lectin serine peptidase 1	protein-coding
MACS_peak_3465	chr13	40949330	40950520	+	221.89	NA	Intergenic	Intergenic	-5212	NM_023887	14538	Mm.314757	NM_008105	ENSMUSG00000021360	Gcnt2	5330430K10Rik|IGnT|IGnTA|IGnTB|IGnTC	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme	protein-coding
MACS_peak_4157	chr14	56406853	56407998	+	221.81	NA	intron (NM_001164108, intron 1 of 9)	intron (NM_001164108, intron 1 of 9)	269	NM_001164107	56532	Mm.46612	NM_001164107	ENSMUSG00000022221	Ripk3	2610528K09Rik|AW107945|Rip3	receptor-interacting serine-threonine kinase 3	protein-coding
MACS_peak_12717	chr8	48436510	48438129	+	221.71	NA	intron (NM_175162, intron 1 of 4)	intron (NM_175162, intron 1 of 4)	383	NM_175162	71069	Mm.23973	NM_001114311	ENSMUSG00000038143	Stox2	4933409N07Rik|AI449080|AI835114|mKIAA1392	storkhead box 2	protein-coding
MACS_peak_5471	chr17	10527743	10529116	+	221.70	NA	Intergenic	CpG	10962	NR_045461	76634	Mm.491052	NR_045461		1700110C19Rik	-	RIKEN cDNA 1700110C19 gene	miscRNA
MACS_peak_11749	chr7	29501183	29502391	+	221.64	NA	promoter-TSS (NM_015796)	promoter-TSS (NM_015796)	-22	NM_015796	50760	Mm.358659	NM_015796	ENSMUSG00000030598	Fbxo17	Fbg4|Fbx17|Fbxo26	F-box protein 17	protein-coding
MACS_peak_3168	chr12	106800853	106802577	+	221.36	NA	intron (NM_009747, intron 1 of 2)	MIRm|SINE|MIR	333	NM_009747	12062	Mm.390475	NM_009747	ENSMUSG00000021070	Bdkrb2	B(2)|B2|B2R|BK-2|BK2|BK2R|BKR2|BRB2	bradykinin receptor, beta 2	protein-coding
MACS_peak_4543	chr15	53733340	53734563	+	220.86	NA	promoter-TSS (NM_177225)	promoter-TSS (NM_177225)	40	NM_177225	320679	Mm.442455	NM_177225	ENSMUSG00000058656	Samd12	A830094I09Rik	sterile alpha motif domain containing 12	protein-coding
MACS_peak_911	chr10	19570133	19571732	+	220.75	NA	5' UTR (NM_029529, exon 1 of 2)	5' UTR (NM_029529, exon 1 of 2)	333	NM_029529	76157	Mm.74324	NM_029529	ENSMUSG00000050473	Slc35d3	6230421J19Rik|Frcl1	solute carrier family 35, member D3	protein-coding
MACS_peak_2762	chr12	11156151	11157438	+	220.66	NA	intron (NM_001168564, intron 1 of 2)	intron (NM_001168564, intron 1 of 2)	385	NM_173417	238076	Mm.113278	NM_001168564	ENSMUSG00000043673	Kcns3	D12Ertd137e	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	protein-coding
MACS_peak_1305	chr10	81095879	81097214	+	220.62	NA	intron (NM_027480, intron 2 of 19)	intron (NM_027480, intron 2 of 19)	5261	NM_027480	70615	Mm.304382	NM_027480	ENSMUSG00000054708	Ankrd24	4631433D01Rik|5730519E19Rik|D10Bur2e	ankyrin repeat domain 24	protein-coding
MACS_peak_8932	chr4	8954830	8956191	+	220.39	NA	Intergenic	Intergenic	-240954	NM_028940	74438	Mm.473368	NM_028940	ENSMUSG00000041216	Clvs1	4933402J24Rik|Clvl1|Rlbp1l1	clavesin 1	protein-coding
MACS_peak_9236	chr4	88286344	88287393	+	220.38	NA	Intergenic	Intergenic	3495	NM_177347	230396	Mm.246592	NM_177347	ENSMUSG00000063376	Ifna13	-	interferon alpha 13	protein-coding
MACS_peak_10160	chr5	69932801	69934191	+	220.05	NA	intron (NM_023784, intron 1 of 5)	intron (NM_023784, intron 1 of 5)	390	NM_023784	75581	Mm.154776	NM_023784	ENSMUSG00000029158	Yipf7	2310016N21Rik|Yip1b	Yip1 domain family, member 7	protein-coding
MACS_peak_13751	chr9	78669062	78670114	+	219.87	NA	Intergenic	CpG	206235	NM_153098	235505	Mm.32955	NM_153098	ENSMUSG00000046186	Cd109	9930012E15Rik|AI480638|GARP	CD109 antigen	protein-coding
MACS_peak_12062	chr7	87487662	87488839	+	219.64	NA	intron (NM_026812, intron 1 of 3)	MIRb|SINE|MIR	227	NM_026812	68695	Mm.21171	NM_026812	ENSMUSG00000030532	Hddc3	1110033O09Rik|C86475|MESH1	HD domain containing 3	protein-coding
MACS_peak_9856	chr4	155143723	155144825	+	219.60	NA	3' UTR (NM_147776, exon 4 of 4)	3' UTR (NM_147776, exon 4 of 4)	4396	NM_147776	246228	Mm.26515	NM_147776	ENSMUSG00000042116	Vwa1	4932416A11Rik|WARP	von Willebrand factor A domain containing 1	protein-coding
MACS_peak_9665	chr4	137469179	137470543	+	219.43	NA	intron (NM_199307, intron 3 of 19)	intron (NM_199307, intron 3 of 19)	51709	NM_199307	230857	Mm.401062	NM_199307	ENSMUSG00000057530	Ece1	AW322500|ECE-1|ECE-1a|ECE-1b|ECE-1d	endothelin converting enzyme 1	protein-coding
MACS_peak_13231	chr8	126038340	126039443	+	219.25	NA	intron (NM_001170975, intron 1 of 2)	CpG	464	NM_001170975	72185	Mm.27925	NM_001170975	ENSMUSG00000031970	Dbndd1	2810427I04Rik|D8Ertd590e	dysbindin (dystrobrevin binding protein 1) domain containing 1	protein-coding
MACS_peak_5734	chr17	33061468	33062519	+	218.97	NA	intron (NM_130882, intron 12 of 12)	intron (NM_130882, intron 12 of 12)	-7706	NM_001204336	64385	Mm.486449	NM_001204333	ENSMUSG00000024292	Cyp4f14	1300014O15Rik|cyp4f-14	cytochrome P450, family 4, subfamily f, polypeptide 14	protein-coding
MACS_peak_11810	chr7	31911049	31912342	+	218.79	NA	exon (NM_011322, exon 1 of 6)	exon (NM_011322, exon 1 of 6)	269	NM_011322	20266	Mm.1418	NM_011322	ENSMUSG00000019194	Scn1b	-	sodium channel, voltage-gated, type I, beta	protein-coding
MACS_peak_12012	chr7	77475849	77477469	+	218.64	NA	Intergenic	CpG	28820	NM_009697	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
MACS_peak_373	chr1	93697250	93699265	+	218.47	NA	exon (NM_007855, exon 1 of 2)	exon (NM_007855, exon 1 of 2)	203	NM_007855	13345	Mm.9474	NM_007855	ENSMUSG00000007805	Twist2	Dermo1|bHLHa39	twist homolog 2 (Drosophila)	protein-coding
MACS_peak_8069	chr2	168426421	168427589	+	218.32	NA	5' UTR (NM_001037178, exon 1 of 7)	5' UTR (NM_001037178, exon 1 of 7)	150	NM_001037178	18019	Mm.116802	NM_001136073	ENSMUSG00000027544	Nfatc2	AI607462|NF-ATc2|NFAT1|NFAT1-D|Nfatp	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2	protein-coding
MACS_peak_14124	chrX	12618924	12619956	+	218.31	NA	intron (NR_038158, intron 1 of 2)	L1MDa|LINE|L1	299	NR_038158	70489	Mm.383563	NR_038158		5730405O15Rik	-	RIKEN cDNA 5730405O15 gene	miscRNA
MACS_peak_12099	chr7	91557672	91559109	+	218.19	NA	promoter-TSS (NM_007488)	promoter-TSS (NM_007488)	79	NM_007488	11864	Mm.38594	NM_007488	ENSMUSG00000015709	Arnt2	Hif-2b|bHLHe1|mKIAA0307	aryl hydrocarbon receptor nuclear translocator 2	protein-coding
MACS_peak_3362	chr13	22117740	22119151	+	218.17	NA	Intergenic	tRNA-Val-GTG|tRNA|tRNA	8976	NM_175659	319168	Mm.262527	NM_175659	ENSMUSG00000069302	Hist1h2ah	-	histone cluster 1, H2ah	protein-coding
MACS_peak_9593	chr4	133053194	133054790	+	217.93	NA	exon (NM_001081156, exon 1 of 2)	exon (NM_001081156, exon 1 of 2)	473	NM_001081156	69539	Mm.151594	NM_001081156	ENSMUSG00000056596	Trnp1	2300002D11Rik|Trnp	TMF1-regulated nuclear protein 1	protein-coding
MACS_peak_2371	chr11	97490236	97491622	+	217.90	NA	5' UTR (NM_175332, exon 1 of 1)	5' UTR (NM_175332, exon 1 of 1)	101	NM_175332	103551	Mm.24506	NM_175332	ENSMUSG00000043439	E130012A19Rik	AA409164|AI413509|AW539173|esPRC2p48	RIKEN cDNA E130012A19 gene	protein-coding
MACS_peak_4241	chr14	66571789	66573034	+	217.88	NA	5' UTR (NM_172604, exon 1 of 6)	5' UTR (NM_172604, exon 1 of 6)	170	NM_172604	219151	Mm.344095	NM_172604	ENSMUSG00000034463	Scara3	APC7|C130058N24Rik|CSR|CSR1|MSLR1|MSRL1	scavenger receptor class A, member 3	protein-coding
